distance,dB,speed,,station,code,station distance
320,21.2,0,,Lebakbulus,LBB,329.481
330,24.3,20.2,,Fatmawati,FTW,2346.652
340,27.3,21.3,,Cipeteraya,CPR,4157.833
350,28.5,26.8,,Haji Nawi,HJN,5456.333
360,28.5,30.2,,Blok A,BLA,6672.378
370,28.9,33.9,,Blok M,BLM,7842.993
380,33.1,37.3,,ASEAN,ASN,8570.32
390,38.2,40,,Senayan,SNY,10088.951
400,41.1,42.2,,Istora,IST,10903.112
410,43.7,43.7,,Bendunganhilir,BNH,12218.189
420,45.1,44.7,,Setiabudi,SET,13001.462
430,46.1,45.8,,Dukuh Atas,DKA,13917.431
440,46.6,46.7,,Bundaran HI,BHI,14983.077
450,47.1,47.5,,,,
460,48.1,48.2,,,,
470,49,49.2,,,,
480,49.7,50.1,,,,
490,50.3,50.5,,,,
500,50,51.1,,,,
510,50.3,51.4,,,,
520,53.4,52.2,,,,
530,55.6,52.8,,,,
540,55.4,53.3,,,,
550,54.1,53.5,,,,
560,52.9,53.3,,,,
570,53.1,53.1,,,,
580,54.9,53.1,,,,
590,57,53.1,,,,
600,58.9,53.3,,,,
610,60.9,53.9,,,,
620,62.1,54.5,,,,
630,61.6,54.6,,,,
640,59.9,54.5,,,,
650,57.3,54.1,,,,
660,54.6,53.7,,,,
670,53,53.3,,,,
680,52.5,53,,,,
690,51.2,53,,,,
700,50.7,53.3,,,,
710,51.5,53.5,,,,
720,52.2,53.7,,,,
730,52.9,53.7,,,,
740,53.4,53.5,,,,
750,54.2,53.5,,,,
760,54.8,53.3,,,,
770,54.4,53.3,,,,
780,54.4,53.7,,,,
790,53.9,53.9,,,,
800,53.2,54.1,,,,
810,52.5,54.3,,,,
820,52.4,54.3,,,,
830,52.5,54.1,,,,
840,53.4,54.1,,,,
850,53.9,53.9,,,,
860,53.9,53.9,,,,
870,54.1,53.9,,,,
880,55.3,53.9,,,,
890,57.6,53.9,,,,
900,60,53.9,,,,
910,59.5,53.9,,,,
920,58.7,53.7,,,,
930,56.6,53.5,,,,
940,54.9,53.5,,,,
950,53.7,53.5,,,,
960,53.2,53.5,,,,
970,52.9,53.7,,,,
980,52.9,54.3,,,,
990,53.2,55.4,,,,
1000,53.2,56.9,,,,
1010,53,58.6,,,,
1020,52.5,60.1,,,,
1030,51.8,61.4,,,,
1040,51,62.6,,,,
1050,50,63.9,,,,
1060,49.4,65,,,,
1070,49.3,65.9,,,,
1080,50,67.1,,,,
1090,51.7,68,,,,
1100,53.7,69.1,,,,
1110,55.4,69.9,,,,
1120,56.4,70.8,,,,
1130,57.3,71.6,,,,
1140,57.6,72.3,,,,
1150,57.3,73.1,,,,
1160,56.8,73.8,,,,
1170,56.6,74.6,,,,
1180,56.6,75.3,,,,
1190,57.1,75.9,,,,
1200,58,76.5,,,,
1210,59.5,77.2,,,,
1220,61.2,78,,,,
1230,62.2,78.4,,,,
1240,63.2,79.1,,,,
1250,63.8,79.7,,,,
1260,64.1,80.1,,,,
1270,64.4,80.4,,,,
1280,64.6,80.8,,,,
1290,65.1,81.2,,,,
1300,65.6,81.4,,,,
1310,66.1,81.6,,,,
1320,66.1,81.9,,,,
1330,66,81.9,,,,
1340,65.8,81.9,,,,
1350,65.3,81.6,,,,
1360,65.1,81,,,,
1370,65.5,80.1,,,,
1380,65.8,79.3,,,,
1390,66.3,78.4,,,,
1400,67.2,77.6,,,,
1410,67.2,77,,,,
1420,66.8,76.7,,,,
1430,66.3,76.5,,,,
1440,65.6,76.5,,,,
1450,65.4,76.7,,,,
1460,65.8,77,,,,
1470,66,77.4,,,,
1480,66,77.6,,,,
1490,66.3,78,,,,
1500,66.3,78,,,,
1510,66.5,78,,,,
1520,66.3,78,,,,
1530,65.8,78,,,,
1540,65.4,78.4,,,,
1550,65.1,78.7,,,,
1560,65.8,78.4,,,,
1570,67.1,78.4,,,,
1580,68,78,,,,
1590,68,78,,,,
1600,67.7,78,,,,
1610,66.5,78.2,,,,
1620,65.3,78.7,,,,
1630,64.2,79.1,,,,
1640,63.4,79.3,,,,
1650,63.2,79.1,,,,
1660,63.2,79.1,,,,
1670,63.7,79.1,,,,
1680,64.6,78.7,,,,
1690,65.3,78.4,,,,
1700,66.3,78.4,,,,
1710,67.1,78,,,,
1720,66.8,78,,,,
1730,66.3,78,,,,
1740,65.1,78.4,,,,
1750,63.9,78.7,,,,
1760,63.5,78.7,,,,
1770,63.2,79.1,,,,
1780,63,79.1,,,,
1790,62.7,79.1,,,,
1800,62.4,79.1,,,,
1810,62.2,79.1,,,,
1820,62.2,78.7,,,,
1830,62.4,78.7,,,,
1840,62.9,78.7,,,,
1850,64.1,78.7,,,,
1860,65.4,78.7,,,,
1870,66.1,78.7,,,,
1880,66.6,78.7,,,,
1890,66.3,78.7,,,,
1900,65.1,79.1,,,,
1910,63.9,79.1,,,,
1920,63.2,79.1,,,,
1930,62.7,78.9,,,,
1940,62.5,78.4,,,,
1950,62.5,77.6,,,,
1960,62.5,76.9,,,,
1970,62.7,76.1,,,,
1980,62.3,75.3,,,,
1990,62.2,74.4,,,,
2000,62.1,73.7,,,,
2010,62.1,72,,,,
2020,61.8,71,,,,
2030,62,70.1,,,,
2040,62.1,69.1,,,,
