distance,dB,speed
329,69.42,0
329,66.06,0
329,71.07,0
329,62.41,0
329,62.3,0
329,61.5,0
329,60.54,0
329,59.89,0
329,60,0
329,60.17,0
329,59.87,0
329,60.04,0
329,60.03,0
329,60.15,0
329,59.92,0
329,60.35,0
329,59.91,0
329,60.12,0
329,59.98,0
329,60.4,0
329,60.09,0
329,60.54,0
329,62.17,0
329,60.36,0
329,60.06,0
329,60.33,0
329,60.36,0
329,60.23,0
329,60.09,0
329,60.09,0
329,59.91,0
329,59.94,0
329,60,0
329,60.4,0
329,59.99,0
329,63.11,0
329,63.27,0
329,65.41,0
330,65.72,0
333,72.3,2
340,73.3,8.5
350,74.08,15.2
364,76.06,21.7
381,76.28,28.5
403,75.51,34.9
426,78.93,41.5
452,79.51,44.5
478,74.56,46.8
506,74.15,49
535,76.35,50.8
564,76.94,52.1
594,76.16,53.2
624,74.97,53.7
654,76.42,54.1
683,76.68,53.9
713,80.87,53.6
743,78.35,54.1
773,76.54,54.1
803,76.85,53.8
833,76.91,53.5
863,73.77,53.5
893,75.07,54.3
923,76.64,54.1
953,76.48,53.9
983,78.38,53.3
1013,81.96,53.7
1046,82.37,56.6
1081,82.57,61.5
1119,82.49,65.6
1158,83.18,69.4
1199,82.91,72.5
1242,83.91,75.6
1286,82.28,78.1
1331,83.8,80.2
1375,81.67,81.5
1417,81.8,77.4
1458,83.57,73.8
1498,82.07,72.5
1540,81.85,74.2
1583,82.58,76
1626,84.97,77.9
1670,81.49,78.4
1715,82.21,80
1758,81.73,79.2
1802,82.17,78
1846,83.06,78.9
1889,81.54,78.8
1933,81.26,79.2
1976,80.05,78.1
2016,78.62,75
2055,77.15,71.6
2092,76.99,68
2126,78.34,64
2157,75.05,58.7
2186,73.84,53.6
2211,73.53,48.5
2235,73.74,44.1
2256,70.53,40
2274,70.11,35.5
2289,66.1,30.4
2302,64.85,25.1
2313,63.41,20.9
2322,62.41,17.6
2329,62.03,15.2
2335,62.35,12.1
2340,62.97,8.9
2342,63.42,6.4
2344,70.32,3.7
2346,73.23,1.5
2346,71.36,0
2346,68.15,0
2346,66.55,0
2346,66.14,0
2346,65.78,0
2346,68.09,0
2346,71.46,0
2346,63.96,0
2346,63.97,0
2346,63,0
2346,62.76,0
2346,61.65,0
2346,61.38,0
2346,61.3,0
2346,61.22,0
2346,61.54,0
2346,61,0
2346,61.4,0
2346,60.93,0
2346,61.05,0
2346,60.96,0
2346,63.51,0
2346,63.32,0
2346,65.53,0
2347,66.37,0
2350,68.62,2.3
2357,73.07,8.9
2366,70.57,15.6
2379,71.8,20.1
2394,72.91,24
2411,72.89,29.9
2429,75.29,31.7
2448,77.04,33.1
2467,78.24,34.7
2488,79.04,36.1
2509,79.4,37.3
2530,80.96,38.2
2552,81.14,38.9
2573,81.38,38.2
2594,80.82,38.6
2616,80.08,38.9
2638,79.09,38.5
2659,75.86,39.4
2681,73.42,39.4
2703,73.05,39.1
2725,72.77,39.1
2746,72.65,38.9
2768,72.06,39.1
2790,71.9,39.1
2812,70.13,39.6
2834,71.18,40.1
2857,71.66,40.8
2881,71.88,41.8
2904,74.24,41.7
2926,76.48,41.1
2948,76.48,40.2
2971,76.22,40
2996,79.17,41.5
3024,79.39,46.6
3055,81.97,54.2
3089,81.8,59.5
3124,83.15,61.9
3160,83.29,64.3
3197,81.16,66.2
3235,81.29,67.7
3274,83.45,68.8
3312,83.14,68.8
3351,84.25,68.8
3392,83.98,71.9
3433,84.29,74.6
3475,82.69,76
3516,81.84,74.7
3556,82.26,72.7
3596,81.25,70.9
3635,79.81,71.8
3675,81.27,71.2
3713,83.12,69.9
3750,78.43,68.1
3786,75.16,65.7
3819,74.81,62.3
3851,75.29,58.8
3882,78.89,55.6
3912,75.29,55.2
3943,77.57,55
3973,74.56,54.7
4003,76.82,54.5
4034,78.43,54.3
4064,78.32,54.1
4093,77.74,53.9
4123,76.27,53.7
4153,78.55,53.7
4183,80.12,53.5
4213,78.35,53.5
4244,78.76,54.2
4277,78.77,57.8
4311,80.66,61.2
4347,81.69,63.1
4383,81.77,64.8
4421,81.8,66.3
4459,82.67,68.3
4497,82.25,69.3
4536,83.2,69.3
4575,85.48,68.8
4615,83.6,71
4657,82.87,74.8
4701,84.14,77.4
4745,85.14,79.1
4791,83.89,80.9
4837,84.97,82.2
4883,85.67,83.4
4930,84.41,84.3
4976,83.38,83.7
5020,81.38,81.2
5062,83.02,77.8
5102,82.87,73.8
5141,77.3,70.6
5179,74.87,69.9
5216,76.69,67.8
5249,75.98,62.7
5279,73.24,57.2
5307,71.09,51.8
5331,71.75,46.6
5354,72.54,42.3
5373,70.7,37.8
5390,66.34,33.1
5404,64.93,27.7
5416,63.6,22.6
5425,62.55,18.6
5433,61.46,16.3
5440,61.02,12.9
5444,60.8,9.7
5447,60.97,7
5456,62.66,4.3
5457,71.56,1.9
5457,71.16,0
5457,67.07,0
5457,66.22,0
5457,69.6,0
5457,68.5,0
5457,64.16,0
5457,63.24,0
5457,61.4,0
5457,61.16,0
5457,61.4,0
5457,61.78,0
5457,61.7,0
5457,60.05,0
5457,60.09,0
5457,59.85,0
5457,59.98,0
5457,59.9,0
5457,60.52,0
5457,61.73,0
5457,63.93,0
5457,62.89,0
5457,61.42,0
5457,61.22,0
5457,61.22,0
5457,63.29,0
5457,63.01,0
5457,62.17,0
5457,62.65,0
5457,62.34,0
5457,63.81,0
5457,65.19,0
5459,71.8,1
5465,72.81,7.2
5475,72.98,13.9
5488,75.05,21.1
5506,74.69,28
5527,78.3,34.8
5551,79.8,41.8
5577,78.95,45.2
5604,75.61,48
5633,75.64,50.2
5662,75.17,51.8
5692,80,53.5
5722,79.05,54.3
5752,80.08,53.8
5781,80.32,53.3
5812,78.78,54
5841,77,54.1
5871,75.4,53.3
5901,75.1,53.8
5931,75.79,54.4
5961,76.25,54.4
5991,77.54,54
6022,77.85,53.9
6054,80.81,55.8
6088,80.63,59.4
6123,82.85,62.1
6158,80.7,63.5
6195,83.42,64.9
6232,83.98,66.2
6271,82.73,68.1
6311,80.07,71.3
6352,78.96,73.9
6392,77.08,74.4
6430,73.98,70.2
6464,76.43,64.2
6494,76.06,57.7
6521,72.74,51.3
6545,70.97,45.4
6566,73.91,40.8
6585,70.95,36.4
6602,69.47,32.3
6616,66.04,28.2
6629,64.24,24
6639,62.84,20.3
6648,61.92,17
6655,61.53,14.9
6661,61.36,11.9
6666,61.03,9.1
6668,61.21,6.4
6670,72.57,3.7
6672,71.38,1.5
6672,71.01,0
6672,67.78,0
6672,71.65,0
6672,69.19,0
6672,69.58,0
6672,64.5,0
6672,64.18,0
6672,61.54,0
6672,60.92,0
6672,60.66,0
6672,60.67,0
6672,60.76,0
6672,60.64,0
6672,60.65,0
6672,60.85,0
6672,63.88,0
6672,63.09,0
6672,65.4,0
6673,65.79,0
