distance,dB,speed,,station,code,station distance
329.481,69.42,0,,Lebakbulus,LBB,329.481
329.481,66.06,0,,Fatmawati,FTW,2346.652
329.481,71.07,0,,Cipeteraya,CPR,4157.833
329.481,62.41,0,,Haji Nawi,HJN,5456.333
329.481,62.3,0,,Blok A,BLA,6672.378
329.481,61.5,0,,Blok M,BLM,7842.993
329.481,60.54,0,,ASEAN,ASN,8570.32
329.481,59.89,0,,Senayan,SNY,10088.951
329.481,60,0,,Istora,IST,10903.112
329.481,60.17,0,,Bendunganhilir,BNH,12218.189
329.481,59.87,0,,Setiabudi,SET,13001.462
329.481,60.04,0,,Dukuh Atas,DKA,13917.431
329.481,60.03,0,,Bundaran HI,BHI,14983.077
329.481,60.15,0,,,,
329.481,59.92,0,,,,
329.481,60.35,0,,,,
329.481,59.91,0,,,,
329.481,60.12,0,,,,
329.481,59.98,0,,,,
329.481,60.4,0,,,,
329.481,60.09,0,,,,
329.481,60.54,0,,,,
329.481,62.17,0,,,,
329.481,60.36,0,,,,
329.481,60.06,0,,,,
329.481,60.33,0,,,,
329.481,60.36,0,,,,
329.481,60.23,0,,,,
329.481,60.09,0,,,,
329.481,60.09,0,,,,
329.481,59.91,0,,,,
329.481,59.94,0,,,,
329.481,60,0,,,,
329.481,60.4,0,,,,
329.481,59.99,0,,,,
329.481,63.11,0,,,,
329.481,63.27,0,,,,
329.481,65.41,0,,,,
330.037,65.72,0,,,,
332.953,72.3,2,,,,
339.537,73.3,8.5,,,,
349.787,74.08,15.2,,,,
363.731,76.06,21.7,,,,
381.342,76.28,28.5,,,,
402.564,75.51,34.9,,,,
426.453,78.93,41.5,,,,
451.814,79.51,44.5,,,,
478.425,74.56,46.8,,,,
506.148,74.15,49,,,,
534.731,76.35,50.8,,,,
563.981,76.94,52.1,,,,
593.675,76.16,53.2,,,,
623.62,74.97,53.7,,,,
653.62,76.42,54.1,,,,
683.481,76.68,53.9,,,,
713.398,80.87,53.6,,,,
743.453,78.35,54.1,,,,
773.425,76.54,54.1,,,,
803.231,76.85,53.8,,,,
832.953,76.91,53.5,,,,
862.898,73.77,53.5,,,,
893.009,75.07,54.3,,,,
923.009,76.64,54.1,,,,
952.787,76.48,53.9,,,,
982.509,78.38,53.3,,,,
1013.148,81.96,53.7,,,,
1045.953,82.37,56.6,,,,
1081.259,82.57,61.5,,,,
1118.759,82.49,65.6,,,,
1158.175,83.18,69.4,,,,
1199.314,82.91,72.5,,,,
1242.009,83.91,75.6,,,,
1285.981,82.28,78.1,,,,
1330.898,83.8,80.2,,,,
1375.037,81.67,81.5,,,,
1417.037,81.8,77.4,,,,
1457.675,83.57,73.8,,,,
1498.425,82.07,72.5,,,,
1540.148,81.85,74.2,,,,
1582.898,82.58,76,,,,
1626.314,84.97,77.9,,,,
1670.314,81.49,78.4,,,,
1714.537,82.21,80,,,,
1758.203,81.73,79.2,,,,
1801.787,82.17,78,,,,
1845.592,83.06,78.9,,,,
1889.481,81.54,78.8,,,,
1933.175,81.26,79.2,,,,
1975.703,80.05,78.1,,,,
2016.425,78.62,75,,,,
2055.203,77.15,71.6,,,,
2091.87,76.99,68,,,,
2125.953,78.34,64,,,,
2157.148,75.05,58.7,,,,
2185.509,73.84,53.6,,,,
2211.231,73.53,48.5,,,,
2234.592,73.74,44.1,,,,
2255.564,70.53,40,,,,
2273.87,70.11,35.5,,,,
2289.287,66.1,30.4,,,,
2302.064,64.85,25.1,,,,
2312.759,63.41,20.9,,,,
2321.87,62.41,17.6,,,,
2329.453,62.03,15.2,,,,
2335.287,62.35,12.1,,,,
2339.537,62.97,8.9,,,,
2342.342,63.42,6.4,,,,
2343.787,70.32,3.7,,,,
2346,73.23,1.5,,,,
2346,71.36,0,,,,
2346,68.15,0,,,,
2346,66.55,0,,,,
2346,66.14,0,,,,
2346,65.78,0,,,,
2346,68.09,0,,,,
2346,71.46,0,,,,
2346,63.96,0,,,,
2346,63.97,0,,,,
2346,63,0,,,,
2346,62.76,0,,,,
2346,61.65,0,,,,
2346,61.38,0,,,,
2346,61.3,0,,,,
2346,61.22,0,,,,
2346,61.54,0,,,,
2346,61,0,,,,
2346,61.4,0,,,,
2346,60.93,0,,,,
2346,61.05,0,,,,
2346,60.96,0,,,,
2346,63.51,0,,,,
2346,63.32,0,,,,
2346,65.53,0,,,,
2346.639,66.37,0,,,,
2349.75,68.62,2.3,,,,
2356.556,73.07,8.9,,,,
2366.472,70.57,15.6,,,,
2378.722,71.8,20.1,,,,
2393.694,72.91,24,,,,
2410.806,72.89,29.9,,,,
2428.806,75.29,31.7,,,,
2447.639,77.04,33.1,,,,
2467.306,78.24,34.7,,,,
2487.694,79.04,36.1,,,,
2508.667,79.4,37.3,,,,
2530.083,80.96,38.2,,,,
2551.5,81.14,38.9,,,,
2572.833,81.38,38.2,,,,
2594.361,80.82,38.6,,,,
2615.861,80.08,38.9,,,,
2637.5,79.09,38.5,,,,
2659.389,75.86,39.4,,,,
2681.194,73.42,39.4,,,,
2702.917,73.05,39.1,,,,
2724.583,72.77,39.1,,,,
2746.25,72.65,38.9,,,,
2767.972,72.06,39.1,,,,
2789.833,71.9,39.1,,,,
2811.972,70.13,39.6,,,,
2834.444,71.18,40.1,,,,
2857.389,71.66,40.8,,,,
2880.583,71.88,41.8,,,,
2903.583,74.24,41.7,,,,
2926.167,76.48,41.1,,,,
2948.444,76.48,40.2,,,,
2971.083,76.22,40,,,,
2995.556,79.17,41.5,,,,
3023.556,79.39,46.6,,,,
3055.139,81.97,54.2,,,,
3088.861,81.8,59.5,,,,
3123.917,83.15,61.9,,,,
3160.167,83.29,64.3,,,,
3197.361,81.16,66.2,,,,
3235.278,81.29,67.7,,,,
3273.5,83.45,68.8,,,,
3311.722,83.14,68.8,,,,
3350.806,84.25,68.8,,,,
3391.5,83.98,71.9,,,,
3433.333,84.29,74.6,,,,
3475.194,82.69,76,,,,
3516.139,81.84,74.7,,,,
3556.028,82.26,72.7,,,,
3595.667,81.25,70.9,,,,
3635.389,79.81,71.8,,,,
3674.583,81.27,71.2,,,,
3712.917,83.12,69.9,,,,
3750.083,78.43,68.1,,,,
3785.639,75.16,65.7,,,,
3819.278,74.81,62.3,,,,
3851.056,75.29,58.8,,,,
3881.833,78.89,55.6,,,,
3912.444,75.29,55.2,,,,
3942.917,77.57,55,,,,
3973.25,74.56,54.7,,,,
4003.472,76.82,54.5,,,,
4033.583,78.43,54.3,,,,
4063.583,78.32,54.1,,,,
4093.472,77.74,53.9,,,,
4123.306,76.27,53.7,,,,
4153.083,78.55,53.7,,,,
4182.806,80.12,53.5,,,,
4212.722,78.35,53.5,,,,
4243.833,78.76,54.2,,,,
4276.889,78.77,57.8,,,,
4311.417,80.66,61.2,,,,
4346.944,81.69,63.1,,,,
4383.361,81.77,64.8,,,,
4420.75,81.8,66.3,,,,
4458.972,82.67,68.3,,,,
4497.472,82.25,69.3,,,,
4535.833,83.2,69.3,,,,
4574.667,85.48,68.8,,,,
4615.167,83.6,71,,,,
4657.444,82.87,74.8,,,,
4700.917,84.14,77.4,,,,
4745.361,85.14,79.1,,,,
4790.667,83.89,80.9,,,,
4836.667,84.97,82.2,,,,
4883.25,85.67,83.4,,,,
4929.917,84.41,84.3,,,,
4975.722,83.38,83.7,,,,
